,,,,,,,,,,,,,,,,,,,,,,
STT,DATE,TITLE,LINK SẢN PHẨM FACEBOOK,DOANH THU,LINK SẢN PHẨM YOUTUBE,DOANH THU,STATUS,,,,,,,,,,,,,,,
THÁNG 1/2023,,,,,,,,,,,,,,,,,,,,,,
1,27/12,Con sẽ nỗ lực để lấy lại lòng tin của ba mẹ đối với con,"https://www.facebook.com/ThieuNienNoi,vn/videos/887483629333768",0.32,,,,,,,,,,,,,,,,,,
2,27/12,Nghe những lời trải lòng của em mà ai cũng phải rơi nước mắt,"https://www.facebook.com/ThieuNienNoi,vn/videos/647432347120177",5.87,,,,,,,,,,,,,,,,,,
3,27/12,Giọng ca ngọt ngào đến từ cô gái Huế,"https://www.facebook.com/ThieuNienNoi,vn/videos/892933038392033",1.71,,,,,,,,,,,,,,,,,,
4,28/12,Con chỉ mong được sống bên mẹ lâu hơn,"https://www.facebook.com/ThieuNienNoi,vn/videos/546811687367762",1.44,,,,,,,,,,,,,,,,,,
5,28/12,Con biết mẹ rất đau nhưng mẹ luôn cười tươi vì chúng con,"https://www.facebook.com/ThieuNienNoi,vn/videos/580481027249174",0.12,,,,,,,,,,,,,,,,,,
6,28/12,Giọng hát quá hay,"https://www.facebook.com/ThieuNienNoi,vn/videos/707246821029111",2.36,,,,,,,,,,,,,,,,,,
7,29/12,Con muốn ở Việt nam để theo đuổi con đường nghệ thuật,"https://www.facebook.com/ThieuNienNoi,vn/videos/527643129301549",4.81,,,,,,,,,,,,,,,,,,
8,29/12,Tình tay ba này em chọn ai,"https://www.facebook.com/ThieuNienNoi,vn/videos/580521380572256",0.54,,,,,,,,,,,,,,,,,,
9,30/12,Con làm sao qua mắt được mẹ,"https://www.facebook.com/ThieuNienNoi,vn/videos/538874561501617",1.47,,,,,,,,,,,,,,,,,,
10,30/12,Con muốn được lựa chọn ước mơ của mình,"https://www.facebook.com/ThieuNienNoi,vn/videos/480998077312182",0.45,,,,,,,,,,,,,,,,,,
11,30/12,Tình yêu của mẹ luôn đủ lớn để che chở cho con,"https://www.facebook.com/ThieuNienNoi,vn/videos/1400527744106296",hold,,,,,,,,,,,,,,,,,,
12,30/12,Câu chuyện muôn thuở: Sao đám cưới bố mẹ không có con,"https://www.facebook.com/ThieuNienNoi,vn/videos/859123812065009",1.83,,,,,,,,,,,,,,,,,,
13,30/12,Sự kết hợp này quá đỉnh,"https://www.facebook.com/ThieuNienNoi,vn/videos/1360535741430390",99.41,,,,,,,,,,,,,,,,,,
14,31/12,"Gửi những người con xa quê: Về nhà đi con, cha mẹ vẫn đang chờ","https://www.facebook.com/ThieuNienNoi,vn/videos/2327893050718105",53.49,,,,,,,,,,,,,,,,,,
15,1/1,Em rất hạnh phúc khi có chị bên cạnh,"https://www.facebook.com/ThieuNienNoi,vn/videos/831083664629547",0.07,,,,,,,,,,,,,,,,,,
16,1/1,Xin lỗi cô vì nhiều lần lớp đã làm cô buồn,"https://www.facebook.com/ThieuNienNoi,vn/videos/2396250420533738",0.22,,,,,,,,,,,,,,,,,,
17,1/1,Anh trai hiểu chuyện,"https://www.facebook.com/ThieuNienNoi,vn/videos/1212974059600314",0.18,,,,,,,,,,,,,,,,,,
18,2/1,Tâm sự như 2 người đàn ông trưởng thành,"https://www.facebook.com/ThieuNienNoi,vn/videos/463389412666999",1.99,,,,,,,,,,,,,,,,,,
19,2/1,Cảm giác bị cô lập sẽ như thế nào?,"https://www.facebook.com/ThieuNienNoi,vn/videos/3492712827679326",0.15,,,,,,,,,,,,,,,,,,
20,2/1,Điểm số không nói lên gì cả,"https://www.facebook.com/ThieuNienNoi,vn/videos/893485965140467",0.05,,,,,,,,,,,,,,,,,,
21,2/1,Giọng hát quá đỉnh,"https://www.facebook.com/ThieuNienNoi,vn/videos/1126052524765458",38.17,,,,,,,,,,,,,,,,,,
